30.6774193548, 154
30.7903225806, 100
31.5161290323, 153
32.0, 99
32.9516129032, 138
33.6774193548, 133
34.3064516129, 104
35.4032258065, 103
37.6774193548, 124
39.0322580645, 101
40.7419354839, 139
43.6451612903, 99
44.3064516129, 78
60.8548387097, 164
61.2903225806, 147
61.4677419355, 120
63.0, 133
63.4677419355, 142
63.9032258065, 120
64.1451612903, 133
64.2096774194, 115
64.8225806452, 121
65.0322580645, 133
72.064516129, 107
79.3225806452, 116
80.0, 94
87.064516129, 98
91.5967741935, 160
93.1129032258, 156
94.1451612903, 148
95.8064516129, 146
95.8870967742, 110
96.9193548387, 107
97.2096774194, 138
97.5806451613, 137
100.322580645, 115
104.532258065, 109
105.387096774, 98
108.483870968, 100
111.129032258, 99
119.612903226, 92
121.241935484, 161
121.419354839, 147
122.225806452, 114
122.338709677, 113
122.612903226, 107
123.85483871, 86
123.870967742, 143
127.725806452, 132
129.725806452, 161
130.080645161, 128
133.483870968, 103
139.419354839, 96
142.161290323, 104
150.532258065, 134
150.758064516, 175
152.516129032, 161
154.741935484, 93
155.919354839, 140
155.935483871, 138
156.129032258, 130
157.290322581, 156
158.096774194, 128
160.629032258, 129
161.387096774, 116
162.322580645, 106
167.370967742, 112
176.725806452, 93
179.467741936, 110
